Course Code,Course name,Pre-Requisites,What it satisfies,Description
Math 220-1,Single-Variable Differential Calculus,None,Math Sequence (1/4) ,"Limits. Differentiation. Linear approximation and related rates. Extreme value theorem, mean value theorem, and curve-sketching. Optimization."
Math 220-2,Single-Variable Differential Calculus,Prerequisite: MATH 218-2 or MATH 220-0 (former) or MATH 220-1.,Math Sequence (2/4) ,"Definite integrals, antiderivatives, and the fundamental theorem of calculus. Transcendental and inverse functions. Areas and volumes. Techniques of integration, numerical integration, and improper integrals. First-order linear and separable ordinary differential equations."
Math 228-1,Multivariable Differential Calculus for Engineering,Prerequisite: MATH 218-3 or MATH 214-0 (former) or MATH 220-2 or MATH 224-0 (former).,Math Sequence (3/4) ,"Vectors, vector functions, partial derivatives, Taylor polynomials, and optimization. Emphasis on engineering applications. For McCormick School of Engineering students only."
Math 228-2,Multivariable Integral Calculus for Engineering,Prerequisite: MATH 228-1 or MATH 230-0 (former) or MATH 230-1 or MATH 281-1 or MATH 285-2 or MATH 290-2 or MATH 291-2 or ES_APPM 252-1.,Math Sequence (4/4) ,"Multiple integration: double integrals, triple integrals, and change of variables. Vector calculus: vector fields, line integrals, surface integrals, curl and divergence, Green's theorem, Stokes' theorem, and the divergence theorem. Emphasis on engineering applications. For McCormick School of Engineering students only."
Gen Eng 205-1,EA1 (Engineering Analysis 1),None,Engineering Analysis and Computer Proficiency Sequence (1/3) ,"Engineering Analysis is part of Northwestern's innovative Engineering First Program for first year undergraduates.

The program gives Northwestern engineering students the fundamentals of a successful engineering education, and lets them experience more real engineering early in their undergraduate careers.

Engineering Analysis 1 (EA-1) covers topics in Linear Algebra, a very useful branch of mathematics for many application areas, and the basics of MATLAB, a powerful computing language for solving linear algebra problems and much more. Specific topics include solving systems of linear equations,  linear independence, linear transformations, matrix inverses, vector spaces, and least-squares problems. We will also cover a sequence of case studies showing different applications of these concepts. No programming or linear algebra background is assumed."
Gen Eng 205-2,EA2 (Engineering Analysis 1),Prerequisites: C- or better in GEN_ENG 205-1; MATH 220-1.,Engineering Analysis and Computer Proficiency Sequence (2/3) ,Linear algebra and introduction to vector methods in engineering analysis. Statics and dynamics of rigid bodies and matrix analysis of trusses and networks. Engineering design problems
Gen Eng 205-3,EA3 (Engineering Analysis 1),Prerequisites: C- or better in GEN_ENG 205-2,Engineering Analysis and Computer Proficiency Sequence (3/3) ,"Dynamic behavior of the elements.  Modeling of mechanical (both translational and rotational), electrical, thermal, hydraulic, and chemical systems composed of those elements. Learning Objectives
Students will be able to model dynamic systems in several domains, focusing on mechanical and electrical systems. Students will apply analytical and computational techniques of solution to study the motion of these systems.

Functional Outcomes
Students will:
Learn to associate physical phenomena and their mathematical description.
Learn understand that the same mathematical equations can model different physical phenomena.
Model mechanical systems using mechanical diagrams and free body diagrams.
Apply appropriate simplifications to models.
Model electrical systems using circuit diagrams.
Reduce modeled systems to systems of differential equations.
Solve and describe the solution of equations of motion using analytic as well as computational techniques.
Apply eigenvalue analysis to systems with multiple degrees of freedom."
ES_APPM 245,Elementary Applied Linear Algebra,None,Engineering Analysis and Computer Proficiency Requirement,"Basic linear algebra methods including basic matrix/vector operations, solution of linear systems of equations, eigenvalues, and singular values. Focus will be on applications of the methods on a range of engineering topics including: least squares and data fitting, game theory, graph theory, principal component analysis, linear programming, and other related engineering topics."
PHYSICS 125-2/PHYSICS 126-2 ,General Physics for ISP/General Physics for ISP Laboratory,Prerequisite: first-year standing in ISP or consent of the department and concurrent enrollment in PHYSICS 126-2.,Basic Sciences (1/4) (can choose any of these four as long as at least one has a corresponding lab section),"PHYSICS 125-2 General Physics for ISP (1 Unit)   General physics course relying extensively on calculus. Similar to PHYSICS 135-2 but more advanced and intended for ISP students. A concurrent advanced calculus course, MATH 281-2, is offered by the mathematics department. PHYSICS 126-2 Physics Laboratory for ISP (0.34 Unit)   Introductory physics laboratory for students taking PHYSICS 125-2, with which it must be taken concurrently."
PHYSICS 135-2/PHYSICS 136-2 ,General Physics/General Physics Laboratory,"Prerequisites: PHYSICS 135-1, PHYSICS 136-1, MATH 230-1.",Basic Sciences (1/4) (can choose any of these four as long as at least one has a corresponding lab section),"Calculus-based physics for science and engineering majors and premedical students. Electricity and magnetism. Must be taken concurrently with PHYSICS 136-2. PHYSICS 136-2 General Physics Laboratory (0.34-0.5 Unit)   Introductory physics laboratory for students taking PHYSICS 130-2 or PHYSICS 135-2, with which it must be taken concurrently."
